instance,config,trial_1,trial_2,trial_3,trial_4,trial_5,avg_value,best_value,qubits_used,total_gates,avg_time_s
1,Aer CPU | 1024 shots | gamma=0.8 | 3 qubits,21.7445,21.7445,21.7445,21.7445,21.7445,21.7445,21.7445,3,21,0.0508
2,Aer CPU | 1024 shots | gamma=0.8 | 2 qubits,26.1817,26.1817,26.1817,26.1817,26.1817,26.1817,26.1817,2,11,0.1014
3,Aer CPU | 2048 shots | gamma=0.8 | 2 qubits,49.4988,49.4988,49.4988,49.4988,49.4988,49.4988,49.4988,2,11,0.1506
4,Aer CPU | 4096 shots | gamma=0.8 | 3 qubits,58.1783,58.1783,58.1783,58.1783,58.1783,58.1783,58.1783,3,21,0.2109
5,Aer CPU | 8192 shots | gamma=0.8 | 5 qubits,86.5006,86.5006,86.5006,86.5006,86.5006,86.5006,86.5006,5,50,0.3048
6,Aer CPU | 8192 shots | gamma=0.8 | 7 qubits,106.2739,106.2739,106.2739,106.2739,106.2739,106.2739,106.2739,7,91,0.4732
